inventory_number,author,title,publisher,category
A1224,Andrea Camillieri,Come la penso,Chiarelettere 2016,raccolta scritti
A1225,Khalil Gibran,Il profeta,Rizzoli 1993,scritto filosofico(bilingue)
A1226,Daniel Pennac,Come un Romanzo,Feltrinelli 1992,saggio sulla lettura
A1227,Denis Guedj,Il teorema del pappagallo,Tea 2003,romanzo e matematica
A1228,Richard Bach,Il gabbiano Jonathan Livingston,Bur 1970,Romanzo di formazione
A1229,Umberto Eco,Il nome della rosa,Bompiani 1980,romanzo giallo storico
A1230,Alessandro Barbero e Chiara Frugoni,Dizionario del Medioevo,Economica la terza 1994,saggio storico
A1231,Gabriel Garcia Marquez,Dell'amore e di altri demoni,Mondadori e deagostini 1998,romanzo passionale
A1232,Stefano Benni,Comic spaventati guerrieri,Feltrinelli 1986,romanzo satira società
A1233,Edmond Rostand,Cirano de bergerac,Rusconi Libri 2009,"commedia, amore"
A1234,Alessandro Baricco,Oceano mare,Superpocket 1993,"romanzo , onirico, surreale"
A1235,Chiara Gamberale,Per 10 minuti,Feltrinelli 2013,romanzo sentimentale
A1236,Tayari Jones,Un matrimonio americano,Neri Pozza 2018,"romanzo, razzismo"
A1237,Marco Presta,Accendimi,Einaudi 2017,"romanzo sentimentale, radio"
A1238,Simone Cristicchi,Abbi cura di me,San Paolo edizioni 2019,saggio. spiritualità
A1239,Federico Moccia,La ragazza di Roma nord,SEM 2019,romanzo sentimentale
A1240,Andrzej Sapkowski,Il guardiano degli innocenti,editrice nord 2016,fantasy
A1241,Denis Guedj,Il teorema del pappagallo,Tea 2018,"romanzo matematico, giallo"
-,Alan Bennett,La signora nel furgone e le sue conseguenze,Adelphi 2015,"Sceneggiatura film, inclusione, ironia"
-,Michele Ferrari,Noi abbiamo futuro,MarcosYMarcos,Romanzo di formazione
A1242,Michele Tranquilli,Una buona idea,Feltrinelli 2017,"storia vera,volontariato"
A1243,Jean Louis Fournier,Dove andiamo papà?,Rizzoli 2009,"storia vera, disabilità"
A1244,Federica Manzon,La nostalgia degli altri,Feltrinelli 2017,"romanzo, identità"
A1245,Francesco Dimitri,Alice nel paese della Vaporità,TEA 2012,romanzo fantasy
A1246,Jhon Green,Cercando Alaska,Rizzoli 2006,narrativa contemporanea
A1247,Manuela Santoni,Le sorelle Bronte,Beccogiallo 2018,graphic novel
A1248,Aldo Cazzullo,A riveder le stelle,Mondadori 2020,"Dante, Divina Commedia"
A1249,David Grossman,Qualcuno con cui correre,Oscar Mondadori 2019,romanzo di formazione
A1250,Elsa Morante,Il mondo salvato dai ragazzini,Einaudi 2020,"Poesia,commedia"
A1251,Jules Verne,L'isola misteriosa,Marsilio 2020,"romanzo avventura, fantascienza"
A1252,"Lucia Vaccarino, Davide Morosinotto",The Game,Mondadori 2018,"romanzo, bullismo"
A1253,Edgar Allan Poe,Racconti di investigazione,Morano editore 1996,Racconti gialli
A1254,Edgar Allan Poe,Le avventure di Gordon Pym,L'Unità/Mondadori 1992,Romanzo horror psicologico
A1255,Andrea Camilleri,Un filo di fumo,Sellerio 1997,Romanzo giallo
A1256,Kaho Nashiki,Un'estate con la Strega dell'Ovest,Feltrinelli 2017,Romanzo di formazione
A1284,Tommaso Fusari,Quello che non siamo diventati,Mondadori 2019,Romanzo di formazione
A1282,Donatella Di Pietrantonio,L'Arminuta,Einaudi 2017,"Romanzo, abbandono"
A1283,Katie Khan,Regalami una stella,Newton Compton Editori 2017,Romanzo sentimentale
A1260,Giancarlo De Cataldo,Un fitto mistero,Contrasto 2017,Raccolta articoli cronaca nera
A1261,Aidan Chambers,Quando eravamo in tre,Bur 2019,Romanzo amicizia
A1262,Michela Marzano,Idda,Einaudi 2019,Romanzo psicologico
A1263,Francesco D'Isa,La stanza di Therese,Tunuè 2017,Romanzo psicologico
A1264,Jay Asher,Tredici,Mondadori 2019,"Romanzo, bullismo"
A1265,SiobhanVivian,"Noi, gli unici al mondo",Newton Compton Editori 2017,Romanzo sentimentale
A1266,Gabriele Caruso,Un sogno che fa male,Mondadori 2019,Romanzo sentimentale
A1267,Morgane Bicail,Phoneplay,Newton Compton Editori 2017,Romanzo sentimentale
A1268,Veronica Roth,Divergent,Punto Web 2014,Romanzo thriller distopico
A1269,Kawamura Genki,Se i gatti scomparissero dal mondo,Einaudi 2019,Fiaba moderna
A1270,Tommaso Pincio,Hotel Zero stelle,Editori Laterza 2011,Riflessioni letterarie
A1271,Paolo Mieli,Lampi sulla storia,Rizzoli 2018,Saggio storico
A1272,Michele Raniero,Extra Unione e la fortezza di Nugari,Il Ciliegio 2014,Romanzo fantascienza
A1273,Orazio Labbate,Suttaterra,Tunuè 2017,Romanzo gotico
A1274,Gabbie Hanna,Adultolescence,Magazzini Salani 2018,Poesie Adlescenza Umorismo
A1275,Concita De Gregorio,Chi sono io?,Contrasto 2011,Ritratti femminili
A1276,La banca d'Italia,Funzioni e obiettivi,Banca d'Italia 2019,saggio economia
A1277,Filelfo,L'assemblea degli animali,Einaudi 2020,Fiaba ecologista
A1278,Barbara Biscotti,Guiulio Cesare un tirannicidio imperfetto,RCS Corriere della Sera 2020,Saggio storico
A1279,Stefania Podda,Marie Curie,RCS Corriere della Sera 2020,"Biografia, donne"
A1280,Lello Gurrado,Fulmine,Marcos y Marcos 2014,Romanzo razzismo
A1281,Emiliano Gucci,Con tutto il bene che posso,Arya Giunti 2020,Romanzo rapporto generazionale
A1285-1,Albert Camus,La peste,Salone internazionale del Libro,"Romanzo, epidemia"
A1285-2,Albert Camus,La peste,Salone internazionale del Libro,"Romanzo, epidemia"
A1285-3,Albert Camus,La peste,Salone internazionale del Libro,"Romanzo, epidemia"
A1245,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1246,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1247,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1248,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1249,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1250,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1251,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1252,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1253,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1254,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1255,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1256,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-1,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-2,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-3,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-4,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-5,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-6,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-7,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-8,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-9,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-10,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-11,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-12,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1257-13,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-14,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-15,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-16,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-17,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-18,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-19,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-20,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-21,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-22,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-23,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1257-24,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-1,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-2,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-3,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-4,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-5,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-6,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-7,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-8,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-9,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-10,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-11,Fabrizio Gatti,Bilal,Bur -Saggi,"Saggio,immigrazione"
A1258-12,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-13,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-14,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-15,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-16,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-17,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-18,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-19,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-20,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-21,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-22,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1258-23,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-1,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-2,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-3,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-4,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-5,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-6,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-7,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-8,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-9,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-10,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-11,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-12,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-13,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-14,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-15,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-16,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-17,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-18,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-19,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-20,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-21,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-22,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-23,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1259-24,Crhristoper Hein,"20 cose, tutto cioò che hai bisogno nella vita",Einaudi Ragazzi 2019,"Racconto illustrato,"
A1259-25,Takoua Ben Mohamed,Il mio migliore amico è fascista,Rizzoli2021,"Graphic novel, integrazione"
A1259-26,Ransom Riggs,"Miss Peregrine, La casa dei ragazzi speciali",Rizzoli 2011,"Romanzo, fantasy, magia"
A1259-27,Valerio Massimo Manfredi,"Aléxandros, il confine del mondo",Oscar Mondadori2002,"Romanzo storico, avventura"
A1259-28,Carlo Collodi,Le avventure di Pinocchio,Liberamente2019,"Romanzo, avventura, formazione"
A1259-29,Daniel Pennac,Come un romanzo,Feltrinelli 1993,"Saggio, piacere della lettura"
A1259-30,Giacomo Mazzariol,Mio fratello rincorre i dinosauri,Einaudi 2016,"Romanzo, formazione, diversità"
A1259-31,Asne Seierstad,Il libraio di Kabul,Bur 2002,"Reportage, donne, Afghanistan"
A1259-32,Ray Bradbury,Cronache marziane,Mondadori1989,"Racconti, fantascienza, Marte"
A1259-33,Lindsey Davis,Le miniere dell'imperatore,Il Saggiatore 2010,Romanzo giallo storico
A1259-34,Andrea Camilleri,La pazienza del ragno,Sellerio 2004,Romanzo giallo Montalbano
A1259-35,Enrico Galliano,Eppure cadiamo felici,Garzanti 2017,"Romanzo, adolescenza, fuga"
A1260,Lemony Snicket,Quandol'hai vistal'ultima volta?,Salani Editore 2013,Romanzo giallo illustrato
A1261,Rick Riordan,"Percy Jackson e gli dei dell'Olimpo, Le storie segrete",Mondadori 2013,"Romanzo, fantasy, mitologia"
A1262,Carlo A. Martigli,L'apprendista di Michelangelo,Mondadori 2017,Romanzo giallo storico
A1263,Luigi Ballerini,Il mistero del bosco,Edizioni Lapis 2016,Romanzo fantascienza
A1264,Rick Riordan,Percy Jackson racconta gli Dei Greci,Mondadori 2014,"Romanzo fantasy, mitologia"
A1266,Robin Stevens,Omicidi per signorine,Mondadori 2014,"Romanzo giallo, scuola"
A1265,Lemony Snicket,Chi sarà mai a quest'ora?,Salani Editore 2013,Romanzo giallo illustrato
A1267,Paul Dowswell,L'ultima alba di guerra,Up Feltrinelli,"Romanzo, prima guerra mondiale"
A1268,Silvana De Mari,L'ultimo elfo,Salani Gl'istrici,Romanzo fantasy
A1269,Karl Brucner,Il gran sole di Hiroscima,Giunti 2011,"Romanzo, bomba atomica"
A1270,Geoff Rodkey,"I viaggi di Egg, In fuga da Mortaria",Giunti junior 2012,"Romanzo avventura, pirati"
A1271,Roald Dahl,Il GGG,Salani Gl'istrici 2014,"Romanzo fantasia, gigante"
A1272,Irene Adler,"Sherlock, Lupin e io, Il trio della dama nera",Il battello a vapore 2011,Romanzo giallo
A1273,Lauren Oliver,Il viaggio di Lili e Po,Pickwick 2011,"Romanzo, fantasmi, magia"
A1274,Cris Colfer,La terra delle storie- L'avvertimento dei Grimm,Rizzoli 2014,"Romanzoavventura, fiabe"
A1275,John Flanagan,La terra dei ghiacci - L'apprendista del ranger,Mondadori Junior 2005,"Romanzo storico, avventura"
A1276,Roald Dahl,"Il grande ascensore di cristallo, il seguito della Fabbrica di cioccolato",Salani editore 1989,"Romanzo avventura, fantasia"
A1277,Cornelia Funke,Cuore d'inchiostro,Mondadori 2003,"Romanzo fantasy, magia"
A1278,Michael Morpurgo,Il ragazzo che non uccise Hitler,Pickwick 2015,"Romanzo avventura, nazismo"
A1279,Geronimo Stilton,Cronache del Regno della fantasia - La porta incantata,Piemme 2015,Romanzo fantasy
A1280,Estelle Laure,La notte che ho dipinto il cielo,Dea 2015,"Romanzo sentientale, adolescenza"
A1281,Carrie Firestone,Prima che te ne vai,Hot Spot 2017,"Romanzo, adolescenza, morte"
A1282,Jérome Colin,Campo di battaglia,Einaudi Stile libero2018,"Romanzo, adolescenza, famiglia"
A1283,"Barbato, Bussola, Pilliu",Bacteria,Astra Star Comics 2021,"Graphic novel, epidemia"
A1284,"Vernay, Alibert, Lapière",Rose,Tunué 2020,"Graphic novel, mistero"
A1285,Carol Swain,Quello che voleva essere,Tunué 2019,"Graphic novel, fantasia, natura"
A1286,Philippe Nessmann,Missione Marte,Electa Junior 2017,"Game book, fantascienza"
A1287,Emanuele Melilli,Maria Stuarda,RCS 2020,Biografia
A1288,Federica Meloni,Lucrezia Borgia,RCS 2020,Biografia
A1289,Gabriella Seveso,Maria Montessori,RCS 2020,Biografia
A1290,Stefania Podda,Marie Curie,RCS 2020,Biografia
A1291,Barbara Biscotti,Cleopatra,RCS 2020,Biografia
A1292,Filippo Danovi,Artemisia Gentileschi,RCS 2020,Biografia
A1293,Alberto Fabris,Elisabetta I,RCS 2020,Biografia
A1294,Gian Luca D'Errico,Madame de Pompadour,RCS 2020,Biografia
A1295,Alessandra Consolaro,Indira Gandhi,RCS 2020,Biografia
A1296,Emanuele Melilli,Anna Bolena,RCS 2020,Biografia
A1297,Stefania De Nardis,Caterina II di Russia,RCS 2020,Biografia
A1298,Loredana Garlati,Elisabetta d'Austria,RCS 2020,Biografia
A1299,Denis Forasacco,Vittoria,RCS 2020,Biografia
A1300,Filippo Danovi,Maria Antonietta,RCS 2020,Biografia
A1301,Barbara Biscotti,Giovanna D'Arco,RCS 2020,Biografia
A1302,Luca Mori,Saffo,RCS 2020,Biografia
A1303,Alberto Fabris,Caterina De'Medici,RCS 2020,Biografia
A1304,Andrea Dusio,Paolina Bonaparte,RCS 2020,Biografia
A1305,Adrian Besley,Billie Eilish,Magazzini Salani 2020,Biografia
A1306,Carla Maria Russo,Il cavaliere del giglio,Pickwick 2007,"Romanzo storico, Firenze 1200"
A1307,Ellis Peters,La vergine nel ghiaccio,Tea Due 1993,"Romanzo giallo storico, Medioevo"
A1308,Ian Herbert,"Quiet genius - Bob Paisley, british football's Greatest manager",Blombury Sport 2017,"Biografia, lingua inglese"
-,Valerio Massimo Manfredi,Lo scudo di Talos,Oscar Mondadori Junior 2013,"Romanzo storico, Sparta"
A1309,Andrew Roberts,Napoleon the Great,Penguin books 2014,"Biografia, lingua inglese"
A1310,Disney,Il commissario Topalbano e altri polizieschi,Giunti 2019,"Fumetto, poliziesco"
-,"Alì Ehsani, Francesco Casolo",I ragazzi hanno grandi sogni,Universale Economica Feltrinelli 2018,"Romanzo, emigrazione"
A1311-1,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-2,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-3,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-4,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-5,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-6,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-7,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-8,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-9,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-10,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-11,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-12,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-13,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-14,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-15,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-16,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-17,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-18,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-19,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-20,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-21,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-22,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-23,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-24,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1311-25,Elsa Morante,L'isola di Arturo,Salone del libro di Torino 2022,Romanzo formazione
A1312,Lucinda Riley,La sorella perduta,Giunti 2021,Romanzo rosa
A1313,Gisella Laterza,La Divina Commedia,I classicini-Corriere della sera,Grandi storie in poche parole
A1314,Giacomo Keison Bevilacqua,Troppo facile amarti in vacanza,Bao publishing 2021,"Graphic novel, distopia"
A1315,Pier Emilio Castoldi,Voghera nebbie mortali,Fratelli Frilli editori 2016,Giallo
A1316,Ellis Peters,Il sepolcro oltre le dune,TEA Due 2001,Giallo
A1317,Paula Hawkins,Dentro l'acqua,Piemme 2017,Thriller
A1318,Mario Rigoni Stern,Stagioni,Einaudi 2021,Narrativa
A1319,"Francesca Ceci, Alessia Puleo",Possiamo essere tutto,Tunue 2022,"Graphic novel, emigrazione"
A1320,Pierdomenico Boccalario,L'isola del Tesoro da Robert Louis Stevenson,Classicini-Corriere della sera 2022,Grandi storie in poche parole
A1321,Sarah Rossi,Racconti di Edgar Allan Poe,Classicini-Corriere della sera 2022,Grandi storie in poche parole
A1322,Roberto Piumini,I Promessi sposi da Alessandro Manzoni,Classicini-Corriere della sera 2022,Grandi storie in poche parole
418,Robert Louis Stevenson,Romanzi racconti e saggi,I Meridiani A. Mondadori Editore,"Raccolta avventure, cronache di viaggi"
637,Alberto Moravia,Gli indifferenti,Bompiani 1995,"Romanzo, noia, crisi gioventù"
638,Alberto Moravia,Gli indifferenti,Bompiani 1995,"Romanzo, noia, crisi gioventù"
619-620,Miguel de Cervantes,Don Chisciotte della Mancia,Bur 1993,"Romanzo, cavalieri, avventura"
617-618,Miguel de Cervantes,Don Chisciotte della Mancia,Bur 1993,"Romanzo, cavalieri, avventura"
A1323,David Grossman,Vedi alla voce: amore,Oscar Mondadori 2014,"Romanzo, Shoah"
A1324,Banana Yoshimoto,Chie-chan e io,Feltrinelli 2010,"Romanzo, affetti, morte, Italia"
A1325,Joseph Roth,La Cripta dei Cappuccini,Newton 2010,"Romanzo, Prima guerra mondiale"
A1326,Siobhan Dowd,Il mistero del London Eye,Uovonero 2011,"Romanzo, giallo, inclusione"
A1327,Colum Mc Cann,Questo bacio vada al mondo intero,Bur 2017,"Romanzo, World Trade Center"
A1328,Albert Einstein,Il significato della relatività - Il mondo come io lo vedo,Newton 2015,"Saggio, fisica"
628,Sibilla Aleramo,Una donna,Feltrinelli 1992,"Romanzo, femminismo"
A1339,Alicia Gimenz Bartlett,Un Natale di pietra,La Repubblica 2020,"racconto, giallo"
A1340,Andrea Camilleri,Capodanno,La Repubblica 2020,"racconto, giallo"
A1341,Maurizio De Giovanni,Febbre,La Repubbilca 2020,"racconto, giallo"
A1342,Francesco Recami,Ottobre in giallo a Milano,La Repubblica 2020,"racconto , giallo"
A1343,Marcello Fois,Ti ho fatto male,La Repubblica 2020,"racconto , giallo"
A1344,Alessandro Robecchi,Il tavolo,La Repubblica 2020,"racconto, giallo"
A1345,Diego De Silva,Patrocinio gratuito,La Repubblica 2020,"racconto, giallo"
A1346,Esmahan Aykol,Rubacuori a Capodanno,La Repubblica 2020,"racconto, giallo"
A1347,Santo Piazzese,Come fu che cambiai marca di Whisky,La Repubblica 2020,"racconto, giallo"
A1348,Gianpaolo Simi,Il comandante Oberdan,La Repubblica 2020,"racconto, giallo"
A1349,Maurizio De Giovanni,Un giorno di settembre a Natale,La Repubblica 2020,"racconto, giallo"
A1350,Carlo Lucarelli,A girl like you,La Repubblica 2020,"racconto, giallo"
A1351-1,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-2,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-3,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-4,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-5,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-6,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-7,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-8,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-9,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-10,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-11,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-12,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-13,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
