inventory_number,author,title,publisher,category
A100,Rebecca Stead,Segreti e bugie,Feltrinelli 2013,"Romanzo young adult, Club delle spie, Mr. X"
A098,Sharon M. Draper,Melody,Feltrinelli 2016,"Romanzo young adult, disabilità, pregiudizi"
A095,Alessandro Baricco,Una certa idea di mondo,Feltrinelli 2015,"Metalibro, consigli di lettura"
A097,Tomasi di Lampedusa,Il gattopardo,Feltrinelli 2012,"Romanzo, Sicilia, trasformazioni sociali, Risorgimento"
A101,Enrico Deaglio,La banalità del bene,Feltrinelli 2012,"Racconto,Giorgio Perlasca, Budapest, Seconda guerra mondiale."
A102,Banana Joshimoto,Kitchen,Feltrinelli 2011,"Romanzo, Giappone, Mikage, solitudine"
A093,Claudia de Lillo,"Dire, fare, Baciare",Feltrinelli 2015,"Manuale per giovani donne, adolescenza"
A091,Antonio Ferrara,Con una rosa in mano,Feltrinelli 2016,"Romanzo, adolescenti, Piazza Tienanmen, 5 giugno 1989"
A092,Sally Gardner,Il pianeta di Standish,Feltrinelli 2013,"Romanz+G225o fantascienza, sbarco sulla Lun, adolescente"
A106,Sarah Crossan,Apple e Rain,Feltrinelli 2016,"Romanzo adolescente, rapporto madre-figlia"
A129,"G. Dobrilla, S. Fuso, S. Oss",Medicina e scienza,Curcu & Genovese 2013,Saggio
A107,Daniel Pennac,Come un romanzo,Feltrinelli 2011,"Saggio, piacere della lettura"
A105,Stefano Benni,La compagnia dei Celestini,Feltrinelli 2006,"Romanzo, metafora società moderna, bene e male"
A104,Paul Dowswell,Auslander,Feltrinelli 2016,"Romanzo, Germania, econda guerra mondiale, nazismo"
A103,Valentina Camerini,Il secondo momento migliore,Feltrinelli 2014,"Romanzo, amicizia, amore"
A099,Alessandro Baricco,Novecento,Feltrinelli 2012,"Monologo teatrale, pianista, piroscafo"
A096,Federico Moccia,Tre metri sopra il cielo,Feltrinelli 2007,"Romanzo rosa, storia d'amore"
A094,Borìs Pasternàk,Il dottor Zivago,Feltrinelli 2012,"Romanzo, amore per due donne, Russia, guerra civile"
A090,Stefania Bertola,Solo Flora,Feltrinelli 2016,"Romanzo, adolescenti, magia, amore"
