n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti
546,Eileen Power,Vita nel Medioevo,Einaudi,1999,9788806152339,"Saggistica, Storia, Testimonianze",FALSE
A1609,Bertolt Brecht,Vita di Galileo,Einaudi,1963,9788806062965,"Poesia, Teatro",FALSE
547,Lev Tolstoj,Sonata a Kreutzer,Feltrinelli,1991,9788811134817,"Narrativa, Romanzo breve, Classici",FALSE
548,Niccolò Machiavelli,Il Pincipe,Feltrinelli,1992,9788874172221,"Saggistica, Filosofia, Storia, Politica",FALSE
550,Oscar Wilde,De profundis,Feltrinelli,1992,9788807820467,"Biografia, Diari, Testimonianze",FALSE
552,Italo Svevo,Senilità,Feltrinelli,1991,9786558947066,"Narrativa, Classici",FALSE
570,Charles M. Schulz,Un Natale di Charlie Brown,Bompiani,1966,8871338103,"Fumetti, Graphic Novel, Ragazzi",FALSE
587,Pier Paolo Pasolini,Ragazzi di vita,Garzanti,1992,9788811666496,"Narrativa, Ragazzi, Formazione",FALSE
589,Elsa Morante,L’isola di Arturo,Einaudi,1957,8871885503,"Narrativa, Ragazzi, Formazione",FALSE
591,Natalia Ginzburg,Le voci della sera,Einaudi,1963,0719008573,"Narrativa, Romanzo breve",FALSE
594,Carlo Cassola,La ragazza di Bube,Rizzoli,1973,8820104555,"Narrativa, Romanzo Storico",FALSE
601,Carlo Emilio Gadda,Quel pasticciaccio brutto...,Garzanti,1991,9788811661122,"Giallo, Thriller, Narrativa",FALSE
602,James Joyce,Gente di Dublino,La Nuova Italia,1982,9788858623916,"Narrativa, Racconti, Classici",FALSE
610,Massimo D'Azeglio,Ettore Fieramosca,Fabbri Editori,1985,9788845023926,"Romanzo Storico, Narrativa",FALSE
617,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE
24,Rondolino,Dizionario del cinema italiano 1945-1969,Einaudi,1969,887742429X,"Saggistica, Manuali",FALSE
618,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817014632,"Narrativa, Classici",FALSE
619,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE
620,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE
623,Walter Scott,Ivanohe,Garzanti,1989,9788811519785,"Romanzo Storico, Narrativa",FALSE
624,Walter Scott,Ivanohe,Garzanti,1989,8869265250,"Romanzo Storico, Narrativa",FALSE
625,Walter Scott,Ivanhoe,Penguin Books,1986,9788858610503,"Lingue Straniere, Romanzo Storico",FALSE
626,Gustave Flaubert,L'education sentimentale,Folio,1965,9782070360661,"Lingue Straniere, Narrativa",FALSE
628,Sibilla Aleramo,Una donna,Feltrinelli,1992,8596547478942,"Narrativa, Biografia, Testimonianze",FALSE
629,Charles Darwin,L’origine della specie,Einaudi,2009,9788858600566,"Saggistica, Scienze",FALSE
636,Italo Svevo,La coscienza di Zeno,Mondadori,1987,9788842430031,"Narrativa, Classici, Biografia, Diari",FALSE
637,Alberto Moravia,Gli indifferenti,Bompiani,1995,9788845213601,"Narrativa, Classici",FALSE
638,Alberto Moravia,Gli indifferenti,Bompiani,1995,8845259633,"Narrativa, Classici",FALSE
639,Hermann Hesse,Demian,Mondadori,1993,8817152161,"Narrativa, Ragazzi, Formazione",FALSE
640,Hermann Hesse,Gertrud,Mondadori,1980,8840368337,"Classico, Psicologico, Musicale",FALSE
641,Hermann Hesse,Racconti,Mondadori,2001,9788804493037,"Narrativa, Racconti",FALSE
642,Hermann Hesse,Sotto la ruota,Mondadori,1999,9783989883987,"Narrativa, Ragazzi, Formazione",FALSE
643,Franz Kafka,Il messaggio dell’imperatore,Adelphi,1994,9788845904325,"Narrativa, Racconti",FALSE
A1615,Samuel Beckett,Aspettando Godot,Einaudi,1969,9791222307732,"Poesia, Teatro",FALSE
644,J. W. Goethe,Favola,Adelphi,1990,9788845907876,"Narrativa, Racconti",FALSE
645,Michele Serra,Il nuovo che avanza,Feltrinelli,1997,9788807811739,"Narrativa, Racconti, Attualità",FALSE
647,Hermann Hesse,Leggende e fiabe,Mondadori,1999,9788804468691,"Ragazzi, Fiabe, Narrativa, Racconti",FALSE
699,Dario Fo,Teatro comico,Garzanti,1962,1020621354,"Poesia, Teatro",FALSE
771,Luciano De Maria,Marinetti e il Futurismo,-,-,-,"Saggistica, Storia, Filosofia",FALSE
801,Henry James,The portrait of a lady,Oxford University Press,1981,432067684X,"Lingue Straniere, Narrativa",FALSE
802,Nathaniel Hawthorne,The Scarlet Letter,Oxford University Press,1990,9780199537808,"Lingue Straniere, Narrativa",FALSE
803,Thomas Hardy,Tess of the D'Urbervilles,Oxford University Press,1983,1904633102,"Lingue Straniere, Narrativa",FALSE
805,Virginia Woolf,To the Lighthouse,Oxford University Press,1992,9780192805607,"Lingue Straniere, Narrativa",FALSE
806,Virginia Woolf,Orlando,Oxford University Press,1992,9780192828333,"Lingue Straniere, Fantasy, Narrativa",FALSE
807,Horace Walpole,The Castle of Otranto,Oxford University Press,1982,9781497659766,"Lingue Straniere, Fantasy, Gotico",FALSE
808,Mark Twain,The adventures of Tom Sawyer,Oxford University Press,1993,9780192822607,"Lingue Straniere, Ragazzi, Narrativa",FALSE
809,Jack London,"The call of the Wild, White fang...",Oxford University Press,1991,9781945186080,"Lingue Straniere, Narrativa",FALSE
810,Robert Louis Stevenson,Dr. Jekyll and Mr. Hyde,Oxford University Press,1987,0140431179,"Lingue Straniere, Fantasy, Gotico",FALSE
811,Herman Melville,Moby Dick,Oxford University Press,1988,9788898062676,"Lingue Straniere, Narrativa",FALSE
812,Jonathan Swift,Gulliver's Travels,Oxford University Press,1986,9780848111830,"Lingue Straniere, Narrativa",FALSE
813,Thomas Hardy,Far From the Madding Crowd,Oxford University Press,1993,1905716397,"Lingue Straniere, Narrativa",FALSE
814,George Eliot,The mill on the Floss,Oxford University Press,1980,1853260746,"Lingue Straniere, Narrativa",FALSE
816,John Bunyan,The Pilgrim's Progress,Oxford University Press,1984,9798708973702,"Lingue Straniere, Narrativa",FALSE
817,Emily Brontë,Wuthering Heights,Oxford University Press,1981,9788868161422,"Lingue Straniere, Narrativa",FALSE
818,Charlotte Brontë,Jane Eyre,Oxford University Press,1980,9780192815135,"Lingue Straniere, Narrativa",FALSE
